21201101,1,aaaa,0.144,1
21201102,2,bbbb,0.234,1
21201103,3,cccc,0.2434,1
21201104,4,dddd,1.23232,1
21201105,5,eeee,324,2
21201106,6,ffff,0.333,1.8
21201107,7,gggg,151.6876453,2
21201108,8,hhhh,179.4942716,2.2
21201109,9,iiii,207.3008979,2.4
21201110,10,jjjj,235.1075242,2.6
21201111,11,aaaa,262.9141505,2.8
21201112,12,bbbb,290.7207768,3
21201113,13,cccc,318.527403,3.2
21201114,14,dddd,346.3340293,3.4
21201115,15,eeee,374.1406556,3.6
21201116,16,ffff,401.9472819,3.8
21201117,17,gggg,429.7539082,4
21201118,18,hhhh,457.5605345,4.2
21201119,19,iiii,485.3671608,4.4
21201120,20,jjjj,513.173787,4.6
21201121,21,aaaa,540.9804133,4.8
21201122,22,bbbb,568.7870396,5
21201123,23,cccc,596.5936659,5.2
21201124,24,dddd,624.4002922,5.4
21201125,25,eeee,652.2069185,5.6
21201126,26,ffff,680.0135448,5.8
21201127,27,gggg,707.820171,6
21201128,28,hhhh,735.6267973,6.2
21201129,29,iiii,763.4334236,6.4
21201130,30,jjjj,791.2400499,6.6
21201131,31,aaaa,819.0466762,6.8
21201132,32,bbbb,846.8533025,7
21201133,33,cccc,874.6599288,7.2
21201134,34,dddd,902.466555,7.4
21201135,35,eeee,930.2731813,7.6
21201136,36,ffff,958.0798076,7.8
21201137,37,gggg,985.8864339,8
21201138,38,hhhh,1013.69306,8.2
21201139,39,iiii,1041.499686,8.4
21201140,40,jjjj,1069.306313,8.6
21201141,41,aaaa,1097.112939,8.8
21201142,42,bbbb,1124.919565,9
21201143,43,cccc,1152.726192,9.2
21201144,44,dddd,1180.532818,9.4
21201145,45,eeee,1208.339444,9.6
21201146,46,ffff,1236.14607,9.8
21201147,47,gggg,1263.952697,10
21201148,48,hhhh,1291.759323,10.2
21201149,49,iiii,1319.565949,10.4
21201150,50,jjjj,1347.372576,10.6
21201151,51,aaaa,1375.179202,10.8
21201152,52,bbbb,1402.985828,11
21201153,53,cccc,1430.792454,11.2
21201154,54,dddd,1458.599081,11.4
21201155,55,eeee,1486.405707,11.6
21201156,56,ffff,1514.212333,11.8
21201157,57,gggg,1542.01896,12
21201158,58,hhhh,1569.825586,12.2
21201159,59,iiii,1597.632212,12.4
21201160,60,jjjj,1625.438838,12.6
21201161,61,aaaa,1653.245465,12.8
21201162,62,bbbb,1681.052091,13
21201163,63,cccc,1708.858717,13.2
21201164,64,dddd,1736.665344,13.4
21201165,65,eeee,1764.47197,13.6
21201166,66,ffff,1792.278596,13.8
21201167,67,gggg,1820.085222,14
21201168,68,hhhh,1847.891849,14.2
21201169,69,iiii,1875.698475,14.4
21201170,70,jjjj,1903.505101,14.6
21201171,71,aaaa,1931.311728,14.8
21201172,72,bbbb,1959.118354,15
21201173,73,cccc,1986.92498,15.2
21201174,74,dddd,2014.731606,15.4
21201175,75,eeee,2042.538233,15.6
21201176,76,ffff,2070.344859,15.8
21201177,77,gggg,2098.151485,16
21201178,78,hhhh,2125.958112,16.2
21201179,79,iiii,2153.764738,16.4
21201180,80,jjjj,2181.571364,16.6
21201181,81,aaaa,2209.37799,16.8
21201182,82,bbbb,2237.184617,17
21201183,83,cccc,2264.991243,17.2
21201184,84,dddd,2292.797869,17.4
21201185,85,eeee,2320.604496,17.6
21201186,86,ffff,2348.411122,17.8
21201187,87,gggg,2376.217748,18
21201188,88,hhhh,2404.024374,18.2
21201189,89,iiii,2431.831001,18.4
21201190,90,jjjj,2459.637627,18.6
21201191,91,aaaa,2487.444253,18.8
21201192,92,bbbb,2515.25088,19
21201193,93,cccc,2543.057506,19.2
21201194,94,dddd,2570.864132,19.4
21201195,95,eeee,2598.670758,19.6
21201196,96,ffff,2626.477385,19.8
21201197,97,gggg,2654.284011,20
21201198,98,hhhh,2682.090637,20.2
21201199,99,iiii,2709.897264,20.4
21201200,100,jjjj,2737.70389,20.6
21201201,101,aaaa,2765.510516,20.8
21201202,102,bbbb,2793.317142,21
21201203,103,cccc,2821.123769,21.2
21201204,104,dddd,2848.930395,21.4
21201205,105,eeee,2876.737021,21.6
21201206,106,ffff,2904.543648,21.8
21201207,107,gggg,2932.350274,22
21201208,108,hhhh,2960.1569,22.2
21201209,109,iiii,2987.963526,22.4
21201210,110,jjjj,3015.770153,22.6
